SOC,Title,Task
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Authorize payment of invoices or return of merchandise.
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Consult with store or merchandise managers about budgets or goods to be purchased.
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Train or supervise sales or clerical staff.
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number."
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run."
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Monitor competitors' sales activities by following their advertisements in newspapers or other media.
13-1051.00,Cost Estimators,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates."
13-1051.00,Cost Estimators,"Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops."
13-1051.00,Cost Estimators,"Consult with clients, vendors, personnel in other departments, or construction foremen to discuss and formulate estimates and resolve issues."
13-1051.00,Cost Estimators,"Confer with engineers, architects, owners, contractors, and subcontractors on changes and adjustments to cost estimates."
13-1051.00,Cost Estimators,"Prepare estimates used by management for purposes such as planning, organizing, and scheduling work."
13-1051.00,Cost Estimators,Prepare estimates for use in selecting vendors or subcontractors.
13-1051.00,Cost Estimators,Review material and labor requirements to decide whether it is more cost-effective to produce or purchase components.
13-1051.00,Cost Estimators,Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.
13-1051.00,Cost Estimators,"Prepare and maintain a directory of suppliers, contractors and subcontractors."
13-1051.00,Cost Estimators,Set up cost monitoring and reporting systems and procedures.
13-1051.00,Cost Estimators,"Establish and maintain tendering process, and conduct negotiations."
13-1051.00,Cost Estimators,Conduct special studies to develop and establish standard hour and related cost data or to effect cost reduction.
13-1051.00,Cost Estimators,"Visit site and record information about access, drainage and topography, and availability of services such as water and electricity."
13-1151.00,Training and Development Specialists,"Keep up with developments in area of expertise by reading current journals, books, or magazine articles."
13-1151.00,Training and Development Specialists,"Present information with a variety of instructional techniques or formats, such as role playing, simulations, team exercises, group discussions, videos, or lectures."
13-1151.00,Training and Development Specialists,"Schedule classes based on availability of classrooms, equipment, or instructors."
13-1151.00,Training and Development Specialists,Offer specific training programs to help workers maintain or improve job skills.
13-1151.00,Training and Development Specialists,"Monitor, evaluate, or record training activities or program effectiveness."
13-1151.00,Training and Development Specialists,Attend meetings or seminars to obtain information for use in training programs or to inform management of training program status.
13-1151.00,Training and Development Specialists,Coordinate recruitment and placement of training program participants.
13-1151.00,Training and Development Specialists,"Evaluate training materials prepared by instructors, such as outlines, text, or handouts."
13-1151.00,Training and Development Specialists,Develop alternative training methods if expected improvements are not seen.
13-1151.00,Training and Development Specialists,"Assess training needs through surveys, interviews with employees, focus groups, or consultation with managers, instructors, or customer representatives."
13-1151.00,Training and Development Specialists,Select and assign instructors to conduct training.
13-1151.00,Training and Development Specialists,Devise programs to develop executive potential among employees in lower-level positions.
13-1151.00,Training and Development Specialists,"Negotiate contracts with clients for desired training outcomes, fees, or expenses."
13-1151.00,Training and Development Specialists,"Refer trainees to employer relations representatives, to locations offering job placement assistance, or to appropriate social services agencies, if warranted."
13-2011.01,Accountants,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards."
13-2011.01,Accountants,"Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements."
13-2011.01,Accountants,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice."
13-2011.01,Accountants,Report to management regarding the finances of establishment.
13-2011.01,Accountants,Establish tables of accounts and assign entries to proper accounts.
13-2011.01,Accountants,"Develop, maintain, and analyze budgets, preparing periodic reports that compare budgeted costs to actual costs."
13-2011.01,Accountants,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology."
13-2011.01,Accountants,Prepare forms and manuals for accounting and bookkeeping personnel and direct their work activities.
13-2011.01,Accountants,"Survey operations to ascertain accounting needs and to recommend, develop, or maintain solutions to business and financial problems."
13-2011.01,Accountants,"Advise management about issues such as resource utilization, tax strategies, and the assumptions underlying budget forecasts."
13-2011.01,Accountants,Provide internal and external auditing services for businesses or individuals.
13-2011.01,Accountants,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans."
13-2011.01,Accountants,Represent clients before taxing authorities and provide support during litigation involving financial issues.
13-2011.01,Accountants,"Appraise, evaluate, and inventory real property and equipment, recording information such as the description, value, and location of property."
13-2011.01,Accountants,Maintain or examine the records of government agencies.
17-1011.00,"Architects, Except Landscape and Naval","Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time."
17-1011.00,"Architects, Except Landscape and Naval",Consult with clients to determine functional or spatial requirements of structures.
17-1011.00,"Architects, Except Landscape and Naval",Prepare contract documents for building contractors.
17-1011.00,"Architects, Except Landscape and Naval",Integrate engineering elements into unified architectural designs.
17-1011.00,"Architects, Except Landscape and Naval",Administer construction contracts.
17-1011.00,"Architects, Except Landscape and Naval",Represent clients in obtaining bids or awarding construction contracts.
17-1011.00,"Architects, Except Landscape and Naval","Prepare operating and maintenance manuals, studies, or reports."
17-2051.00,Civil Engineers,"Compute load and grade requirements, water flow rates, or material stress factors to determine design specifications."
17-2051.00,Civil Engineers,Inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.
17-2051.00,Civil Engineers,"Direct or participate in surveying to lay out installations or establish reference points, grades, or elevations to guide construction."
17-2051.00,Civil Engineers,"Estimate quantities and cost of materials, equipment, or labor to determine project feasibility."
17-2051.00,Civil Engineers,"Prepare or present public reports on topics such as bid proposals, deeds, environmental impact statements, or property and right-of-way descriptions."
17-2051.00,Civil Engineers,"Test soils or materials to determine the adequacy and strength of foundations, concrete, asphalt, or steel."
17-2051.00,Civil Engineers,Conduct studies of traffic patterns or environmental conditions to identify engineering problems and assess potential project impact.
17-3011.01,Architectural Drafters,"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs."
17-3011.01,Architectural Drafters,"Operate computer-aided drafting (CAD) equipment or conventional drafting station to produce designs, working drawings, charts, forms, and records."
17-3011.01,Architectural Drafters,"Coordinate structural, electrical, and mechanical designs and determine a method of presentation to graphically represent building plans."
17-3011.01,Architectural Drafters,"Obtain and assemble data to complete architectural designs, visiting job sites to compile measurements as necessary."
17-3011.01,Architectural Drafters,"Draw rough and detailed scale plans for foundations, buildings, and structures, based on preliminary concepts, sketches, engineering calculations, specification sheets, and other data."
17-3011.01,Architectural Drafters,"Lay out and plan interior room arrangements for commercial buildings, using computer-assisted drafting (CAD) equipment and software."
17-3011.01,Architectural Drafters,"Supervise, coordinate, and inspect the work of draftspersons, technicians, and technologists on construction projects."
17-3011.01,Architectural Drafters,"Represent architect on construction site, ensuring builder compliance with design specifications and advising on design corrections, under architect's supervision."
17-3011.01,Architectural Drafters,Check dimensions of materials to be used and assign numbers to lists of materials.
17-3011.01,Architectural Drafters,"Determine procedures and instructions to be followed, according to design specifications and quantity of required materials."
17-3011.01,Architectural Drafters,"Analyze technical implications of architect's design concept, calculating weights, volumes, and stress factors."
17-3011.01,Architectural Drafters,Create freehand drawings and lettering to accompany drawings.
17-3011.01,Architectural Drafters,Prepare colored drawings of landscape and interior designs for presentation to client.
17-3011.01,Architectural Drafters,"Reproduce drawings on copy machines or trace copies of plans and drawings, using transparent paper or cloth, ink, pencil, and standard drafting instruments."
17-3011.01,Architectural Drafters,"Prepare cost estimates, contracts, bidding documents, and technical reports for specific projects under an architect's supervision."
17-3011.01,Architectural Drafters,"Calculate heat loss and gain of buildings and structures to determine required equipment specifications, following standard procedures."
17-3011.01,Architectural Drafters,"Build landscape, architectural, and display models."
19-1020.01,Biologists,"Develop and maintain liaisons and effective working relations with groups and individuals, agencies, and the public to encourage cooperative management strategies or to develop information and interpret findings."
19-1020.01,Biologists,"Program and use computers to store, process, and analyze data."
19-1020.01,Biologists,Collect and analyze biological data about relationships among and between organisms and their environment.
19-1020.01,Biologists,"Study aquatic plants and animals and environmental conditions affecting them, such as radioactivity or pollution."
19-1020.01,Biologists,Communicate test results to state and federal representatives and general public.
19-1020.01,Biologists,"Identify, classify, and study structure, behavior, ecology, physiology, nutrition, culture, and distribution of plant and animal species."
19-1020.01,Biologists,Represent employer in a technical capacity at conferences.
19-1020.01,Biologists,"Plan and administer biological research programs for government, research firms, medical industries, or manufacturing firms."
19-1020.01,Biologists,"Research environmental effects of present and potential uses of land and water areas, determining methods of improving environmental conditions or such outputs as crop yields."
19-1020.01,Biologists,"Measure salinity, acidity, light, oxygen content, and other physical conditions of water to determine their relationship to aquatic life."
19-1020.01,Biologists,Teach or supervise students and perform research at universities and colleges.
19-1020.01,Biologists,Supervise biological technicians and technologists and other scientists.
19-1020.01,Biologists,"Study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and function."
19-1020.01,Biologists,Study and manage wild animal populations.
19-1020.01,Biologists,Prepare requests for proposals or statements of work.
19-1020.01,Biologists,Prepare plans for management of renewable resources.
19-1020.01,Biologists,"Develop methods and apparatus for securing representative plant, animal, aquatic, or soil samples."
19-1020.01,Biologists,"Study reactions of plants, animals, and marine species to parasites."
19-1020.01,Biologists,"Develop pest management and control measures, and conduct risk assessments related to pest exclusion, using scientific methods."
19-1032.00,Foresters,Monitor contract compliance and results of forestry activities to assure adherence to government regulations.
19-1032.00,Foresters,Establish short- and long-term plans for management of forest lands and forest resources.
19-1032.00,Foresters,Supervise activities of other forestry workers.
19-1032.00,Foresters,"Choose and prepare sites for new trees, using controlled burning, bulldozers, or herbicides to clear weeds, brush, and logging debris."
19-1032.00,Foresters,"Plan and supervise forestry projects, such as determining the type, number and placement of trees to be planted, managing tree nurseries, thinning forest and monitoring growth of new seedlings."
19-1032.00,Foresters,"Negotiate terms and conditions of agreements and contracts for forest harvesting, forest management and leasing of forest lands."
19-1032.00,Foresters,"Direct, and participate in, forest fire suppression."
19-1032.00,Foresters,Determine methods of cutting and removing timber with minimum waste and environmental damage.
19-1032.00,Foresters,"Analyze effect of forest conditions on tree growth rates and tree species prevalence and the yield, duration, seed production, growth viability, and germination of different species."
19-1032.00,Foresters,Monitor forest-cleared lands to ensure that they are reclaimed to their most suitable end use.
19-1032.00,Foresters,Plan and implement projects for conservation of wildlife habitats and soil and water quality.
19-1032.00,Foresters,Plan and direct forest surveys and related studies and prepare reports and recommendations.
19-1032.00,Foresters,Perform inspections of forests or forest nurseries.
19-1032.00,Foresters,Map forest area soils and vegetation to estimate the amount of standing timber and future value and growth.
19-1032.00,Foresters,Conduct public educational programs on forest care and conservation.
19-1032.00,Foresters,Procure timber from private landowners.
19-1032.00,Foresters,Subcontract with loggers or pulpwood cutters for tree removal and to aid in road layout.
19-1032.00,Foresters,"Plan cutting programs and manage timber sales from harvested areas, assisting companies to achieve production goals."
19-1032.00,Foresters,Monitor wildlife populations and assess the impacts of forest operations on population and habitats.
19-1032.00,Foresters,"Plan and direct construction and maintenance of recreation facilities, fire towers, trails, roads and bridges, ensuring that they comply with guidelines and regulations set for forested public lands."
19-1032.00,Foresters,"Contact local forest owners and gain permission to take inventory of the type, amount, and location of all standing timber on the property."
19-1032.00,Foresters,"Provide advice and recommendations, as a consultant on forestry issues, to private woodlot owners, firefighters, government agencies or to companies."
19-1032.00,Foresters,"Study different tree species' classification, life history, light and soil requirements, adaptation to new environmental conditions and resistance to disease and insects."
19-1032.00,Foresters,Develop new techniques for wood or residue use.
19-1032.00,Foresters,Develop techniques for measuring and identifying trees.
19-3051.00,Urban and Regional Planners,"Design, promote, or administer government plans or policies affecting land use, zoning, public utilities, community facilities, housing, or transportation."
19-3051.00,Urban and Regional Planners,"Recommend approval, denial, or conditional approval of proposals."
19-3051.00,Urban and Regional Planners,"Create, prepare, or requisition graphic or narrative reports on land use data, including land area maps overlaid with geographic variables, such as population density."
19-3051.00,Urban and Regional Planners,"Advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives."
19-3051.00,Urban and Regional Planners,"Conduct field investigations, surveys, impact studies, or other research to compile and analyze data on economic, social, regulatory, or physical factors affecting land use."
19-3051.00,Urban and Regional Planners,"Discuss with planning officials the purpose of land use projects, such as transportation, conservation, residential, commercial, industrial, or community use."
19-3051.00,Urban and Regional Planners,"Keep informed about economic or legal issues involved in zoning codes, building codes, or environmental regulations."
19-3051.00,Urban and Regional Planners,Mediate community disputes or assist in developing alternative plans or recommendations for programs or projects.
19-3051.00,Urban and Regional Planners,Coordinate work with economic consultants or architects during the formulation of plans or the design of large pieces of infrastructure.
19-3051.00,Urban and Regional Planners,Review and evaluate environmental impact reports pertaining to private or public planning projects or programs.
19-3051.00,Urban and Regional Planners,Supervise or coordinate the work of urban planning technicians or technologists.
21-1021.00,"Child, Family, and School Social Workers","Interview clients individually, in families, or in groups, assessing their situations, capabilities, and problems to determine what services are required to meet their needs."
21-1021.00,"Child, Family, and School Social Workers","Counsel individuals, groups, families, or communities regarding issues including mental health, poverty, unemployment, substance abuse, physical abuse, rehabilitation, social adjustment, child care, or medical care."
21-1021.00,"Child, Family, and School Social Workers",Maintain case history records and prepare reports.
21-1021.00,"Child, Family, and School Social Workers","Counsel students whose behavior, school progress, or mental or physical impairment indicate a need for assistance, diagnosing students' problems and arranging for needed services."
21-1021.00,"Child, Family, and School Social Workers","Consult with parents, teachers, and other school personnel to determine causes of problems, such as truancy and misbehavior, and to implement solutions."
21-1021.00,"Child, Family, and School Social Workers","Counsel parents with child rearing problems, interviewing the child and family to determine whether further action is required."
21-1021.00,"Child, Family, and School Social Workers",Develop and review service plans in consultation with clients and perform follow-ups assessing the quantity and quality of services provided.
21-1021.00,"Child, Family, and School Social Workers","Collect supplementary information needed to assist client, such as employment records, medical records, or school reports."
21-1021.00,"Child, Family, and School Social Workers","Address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements."
21-1021.00,"Child, Family, and School Social Workers","Provide, find, or arrange for support services, such as child care, homemaker service, prenatal care, substance abuse treatment, job training, counseling, or parenting classes to prevent more serious problems from developing."
21-1021.00,"Child, Family, and School Social Workers","Refer clients to community resources for services, such as job placement, debt counseling, legal aid, housing, medical treatment, or financial assistance, and provide concrete information, such as where to go and how to apply."
21-1021.00,"Child, Family, and School Social Workers","Arrange for medical, psychiatric, and other tests that may disclose causes of difficulties and indicate remedial measures."
21-1021.00,"Child, Family, and School Social Workers",Work in child and adolescent residential institutions.
21-1021.00,"Child, Family, and School Social Workers",Administer welfare programs.
21-1021.00,"Child, Family, and School Social Workers",Evaluate personal characteristics and home conditions of foster home or adoption applicants.
21-1021.00,"Child, Family, and School Social Workers","Serve as liaisons between students, homes, schools, family services, child guidance clinics, courts, protective services, doctors, and other contacts to help children who face problems, such as disabilities, abuse, or poverty."
21-1021.00,"Child, Family, and School Social Workers","Place children in foster or adoptive homes, institutions, or medical treatment centers."
21-1021.00,"Child, Family, and School Social Workers",Supervise other social workers.
21-1021.00,"Child, Family, and School Social Workers",Recommend temporary foster care and advise foster or adoptive parents.
21-1021.00,"Child, Family, and School Social Workers",Determine clients' eligibility for financial assistance.
21-1021.00,"Child, Family, and School Social Workers",Conduct social research.
21-1021.00,"Child, Family, and School Social Workers","Lead group counseling sessions that provide support in such areas as grief, stress, or chemical dependency."
21-1021.00,"Child, Family, and School Social Workers","Serve on policy-making committees, assist in community development, and assist client groups by lobbying for solutions to problems."
21-1022.00,Healthcare Social Workers,Collaborate with other professionals to evaluate patients' medical or physical condition and to assess client needs.
21-1022.00,Healthcare Social Workers,Investigate child abuse or neglect cases and take authorized protective action when necessary.
21-1022.00,Healthcare Social Workers,"Refer patient, client, or family to community resources to assist in recovery from mental or physical illness and to provide access to services such as financial assistance, legal aid, housing, job placement or education."
21-1022.00,Healthcare Social Workers,"Counsel clients and patients in individual and group sessions to help them overcome dependencies, recover from illness, and adjust to life."
21-1022.00,Healthcare Social Workers,"Organize support groups or counsel family members to assist them in understanding, dealing with, and supporting the client or patient."
21-1022.00,Healthcare Social Workers,Advocate for clients or patients to resolve crises.
21-1022.00,Healthcare Social Workers,Identify environmental impediments to client or patient progress through interviews and review of patient records.
21-1022.00,Healthcare Social Workers,"Utilize consultation data and social work experience to plan and coordinate client or patient care and rehabilitation, following through to ensure service efficacy."
21-1022.00,Healthcare Social Workers,Modify treatment plans to comply with changes in clients' status.
21-1022.00,Healthcare Social Workers,"Monitor, evaluate, and record client progress according to measurable goals described in treatment and care plan."
21-1022.00,Healthcare Social Workers,Supervise and direct other workers providing services to clients or patients.
21-1022.00,Healthcare Social Workers,Develop or advise on social policy and assist in community development.
21-1022.00,Healthcare Social Workers,Oversee Medicaid- and Medicare-related paperwork and recordkeeping in hospitals.
21-1022.00,Healthcare Social Workers,Conduct social research to advance knowledge in the social work field.
21-1022.00,Healthcare Social Workers,"Plan and conduct programs to combat social problems, prevent substance abuse, or improve community health and counseling services."
21-1023.00,Mental Health and Substance Abuse Social Workers,"Counsel clients in individual or group sessions to assist them in dealing with substance abuse, mental or physical illness, poverty, unemployment, or physical abuse."
21-1023.00,Mental Health and Substance Abuse Social Workers,"Collaborate with counselors, physicians, or nurses to plan or coordinate treatment, drawing on social work experience and patient needs."
21-1023.00,Mental Health and Substance Abuse Social Workers,"Monitor, evaluate, and record client progress with respect to treatment goals."
21-1023.00,Mental Health and Substance Abuse Social Workers,"Refer patient, client, or family to community resources for housing or treatment to assist in recovery from mental or physical illness, following through to ensure service efficacy."
21-1023.00,Mental Health and Substance Abuse Social Workers,"Counsel or aid family members to assist them in understanding, dealing with, or supporting the client or patient."
21-1023.00,Mental Health and Substance Abuse Social Workers,Modify treatment plans according to changes in client status.
21-1023.00,Mental Health and Substance Abuse Social Workers,"Plan or conduct programs to prevent substance abuse, combat social problems, or improve health or counseling services in community."
21-1023.00,Mental Health and Substance Abuse Social Workers,Supervise or direct other workers who provide services to clients or patients.
21-1023.00,Mental Health and Substance Abuse Social Workers,Develop or advise on social policy or assist in community development.
27-1011.00,Art Directors,"Formulate basic layout design or presentation approach and specify material details, such as style and size of type, photographs, graphics, animation, video, and sound."
27-1011.00,Art Directors,"Review and approve art materials, copy materials, and proofs of printed copy developed by staff members."
27-1011.00,Art Directors,"Manage own accounts and projects, working within budget and scheduling requirements."
27-1011.00,Art Directors,"Confer with creative, art, copywriting, or production department heads to discuss client requirements and presentation concepts and to coordinate creative activities."
27-1011.00,Art Directors,Present final layouts to clients for approval.
27-1011.00,Art Directors,"Confer with clients to determine objectives, budget, background information, and presentation approaches, styles, and techniques."
27-1011.00,Art Directors,"Hire, train, and direct staff members who develop design concepts into art layouts or who prepare layouts for printing."
27-1011.00,Art Directors,Work with creative directors to develop design solutions.
27-1011.00,Art Directors,Review illustrative material to determine if it conforms to standards and specifications.
27-1011.00,Art Directors,Attend photo shoots and printing sessions to ensure that the products needed are obtained.
27-1011.00,Art Directors,Create custom illustrations or other graphic elements.
27-1011.00,Art Directors,"Mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing."
27-1011.00,Art Directors,Negotiate with printers and estimators to determine what services will be performed.
27-1011.00,Art Directors,"Conceptualize and help design interfaces for multimedia games, products, and devices."
27-1011.00,Art Directors,Prepare detailed storyboards showing sequence and timing of story development for television production.
27-1024.00,Graphic Designers,"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts."
27-1024.00,Graphic Designers,"Determine size and arrangement of illustrative material and copy, and select style and size of type."
27-1024.00,Graphic Designers,Use computer software to generate new images.
27-1024.00,Graphic Designers,"Mark up, paste, and assemble final layouts to prepare layouts for printer."
27-1024.00,Graphic Designers,"Draw and print charts, graphs, illustrations, and other artwork, using computer."
27-1024.00,Graphic Designers,Review final layouts and suggest improvements as needed.
27-1024.00,Graphic Designers,Confer with clients to discuss and determine layout design.
27-1024.00,Graphic Designers,"Develop graphics and layouts for product illustrations, company logos, and Web sites."
27-1024.00,Graphic Designers,Key information into computer equipment to create layouts for client or supervisor.
27-1024.00,Graphic Designers,"Prepare illustrations or rough sketches of material, discussing them with clients or supervisors and making necessary changes."
27-1024.00,Graphic Designers,"Study illustrations and photographs to plan presentation of materials, products, or services."
27-1024.00,Graphic Designers,Prepare notes and instructions for workers who assemble and prepare final layouts for printing.
27-1024.00,Graphic Designers,"Photograph layouts, using camera, to make layout prints for supervisors or clients."
27-1024.00,Graphic Designers,"Produce still and animated graphics for on-air and taped portions of television news broadcasts, using electronic video equipment."
29-1031.00,Dietitians and Nutritionists,"Assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling."
29-1031.00,Dietitians and Nutritionists,Consult with physicians and health care personnel to determine nutritional needs and diet restrictions of patient or client.
29-1031.00,Dietitians and Nutritionists,"Advise patients and their families on nutritional principles, dietary plans, diet modifications, and food selection and preparation."
29-1031.00,Dietitians and Nutritionists,"Counsel individuals and groups on basic rules of good nutrition, healthy eating habits, and nutrition monitoring to improve their quality of life."
29-1031.00,Dietitians and Nutritionists,"Monitor food service operations to ensure conformance to nutritional, safety, sanitation and quality standards."
29-1031.00,Dietitians and Nutritionists,Coordinate recipe development and standardization and develop new menus for independent food service operations.
29-1031.00,Dietitians and Nutritionists,Develop policies for food service or nutritional programs to assist in health promotion and disease control.
